id,name,genre,一人,複数人,定食,中華,多国籍,洋食,焼肉屋,うどん,カレー,カツ,寿司,ラーメン,牛丼,ガッツリ,おしゃれ,コスパ,remarks,address,lat,lon
1,山東菜館,中華料理,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,美味しい。こういう系で珍しくおばちゃんの愛想がいい。,東京都港区芝大門2-3-6 大門アーバニスト 1F,35.69321522,139.8999717
2,奥倫道,ラーメン,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,一風変わったラーメン屋さん。定食と称し大量の炭水化物を提供（美味しい）。,東京都港区芝大門2-1-18 GSハイム芝大門 1F,35.69224979,139.899273
3,正泰苑,焼肉屋,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,ランチのローストビーフ丼ユッケ風がおすすめ。量は普通、満足度高い。,東京都港区芝大門1-7-4 パークサイド芝大門 1F,35.69113444,139.9020303
4,麺恋処 き楽,ラーメン,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,行ったことがない。,東京都港区新橋5-24-5,35.69050706,139.9021698
5,集来,ラーメン,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,行列のできるラーメン屋。,東京都港区芝大門2-3-6,35.6866689,139.9023353
6,慶珍楼,中華料理,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,海外っぽいガサツな雰囲気。丁度よい値段で丁度よい。,東京都港区芝大門1-6-10,35.69458905,139.9007539
7,とろさば料理専門店 SABAR,居酒屋,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,鯖料理専門店。,東京都港区芝大門1-15-3 GEMS大門 5F,35.69374468,139.8989439
8,韓国料理ジョウンデー,韓国料理,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,料理が熱く、辛いためなのか、冷房の効きが強すぎる韓国料理屋。,東京都港区芝大門1-15-3 3F,35.69324531,139.8986821
9,Kitchen Peremosso,レストラン,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"1,300円前後と少し高いが、日替わりメインにサラダ&スープ&ドリンクバーつき。",東京都港区芝大門1-1-26 京王プレッソイン浜松町 1F,35.69321522,139.8999717
10,都映,居酒屋,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,700円ほどで、丼とミニうどんが食べられ、行列が絶えない。,東京都港区芝大門1-11-9,35.69224979,139.899273
